abgerufen,datum_post,ordner,media_id,typ,permalink,reach,views,likes,comments,saved,shares,interaktionen
2026-08-20,2026-06-18,,18044766764581916,FEED,https://www.instagram.com/p/DZuDpAAjR0M/,0,0,0,0,0,0,0
2026-08-20,2026-06-14,,18085692131429798,FEED,https://www.instagram.com/p/DZlItsMEZR6/,,,,,,,
2026-08-20,2026-06-10,,18095130527094214,FEED,https://www.instagram.com/p/DZZe4dSiP7l/,,,,,,,
2026-08-20,2026-06-10,,17993341091975806,FEED,https://www.instagram.com/p/DZZex7xiBtr/,,,,,,,
2026-08-20,2026-06-09,,17901852351282487,FEED,https://www.instagram.com/p/DZXZysOiDc7/,,,,,,,
2026-08-20,2026-06-09,,17918010180386296,FEED,https://www.instagram.com/p/DZXZtlRiOE-/,,,,,,,
2026-08-20,2026-06-09,,18120384814839071,FEED,https://www.instagram.com/p/DZXZpGkiHCL/,,,,,,,
2026-08-20,2026-06-09,,17970459204071542,FEED,https://www.instagram.com/p/DZXZid-CGCv/,,,,,,,
2026-08-20,2026-06-09,,18021232559677153,FEED,https://www.instagram.com/p/DZXZdVUCJk2/,,,,,,,
2026-08-21,2026-08-21,2026-08-21_no-opinion-no-burden,18091244546177279,REELS,https://www.instagram.com/reel/DcSk4KPk9wt/,0,0,0,0,0,0,0
2026-08-21,2026-08-20,2026-08-20_stillness-flowing-life,17903708436323945,REELS,https://www.instagram.com/reel/DcQE0WDjJd3/,114,119,3,0,0,0,3
2026-08-21,2026-08-19,2026-08-19_attention-by-itself,18386532469166191,REELS,https://www.instagram.com/reel/DcNf1G2D3Vy/,57,64,0,0,0,0,0
2026-08-21,2026-08-18,2026-08-18_illusion-out-of-work,18149678101511548,REELS,https://www.instagram.com/reel/DcK3Nr8lUqa/,108,120,3,0,0,0,3
2026-08-21,2026-08-17,2026-08-17_no-ideal-to-match,17965730181150596,REELS,https://www.instagram.com/reel/DcIQec-Ccrc/,63,72,0,0,0,0,0
2026-08-21,2026-08-16,2026-08-16_question-every-fact,18004112939968334,REELS,https://www.instagram.com/reel/DcFxHdzlB8P/,65,66,0,0,0,0,0
2026-08-21,2026-08-15,2026-08-15_no-one-growing-trees,18339051100253108,REELS,https://www.instagram.com/reel/DcDMTvqkbMp/,160,164,2,0,0,0,2
2026-08-21,2026-08-14,2026-08-14_life-lives-itself,17943437685268324,REELS,https://www.instagram.com/reel/DcAvwf6DjEK/,76,81,2,0,0,0,2
2026-08-21,2026-08-13,2026-08-13_knowing-set-down,18120660058890621,REELS,https://www.instagram.com/reel/Db-F63OiglT/,49,54,0,0,0,0,0
2026-08-21,2026-08-12,2026-08-12_being-needs-no-advice,17948947437036969,REELS,https://www.instagram.com/reel/Db7gtb_gnDD/,44,51,0,0,0,0,0
